taxon,lfc,se,t_stat,p_ols,p_val,wilcoxon_p,auroc,gfc,n_ctrl,n_crc,q_val,significant,direction
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0.1835,0.5191,0.3535,0.7238595275436583,0.683,0.683,0.510003316016359,0.6941,327,332,0.861174,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_unclassified,0.4425,0.6677,0.6627,0.5077720481063324,0.715,0.715,0.4924468516266902,0.4478,327,332,0.888643,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,0.049,0.373,0.1314,0.8954994046174843,0.731,0.731,0.4928337202019085,0.3195,327,332,0.895732,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0.4454,0.6,0.7424,0.4581332153993195,0.755,0.755,0.5071110128587746,0.2574,327,332,0.912292,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0.3908,0.6533,0.5983,0.549866312822819,0.851,0.851,0.5046055782764084,1.6064,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,0.2038,0.4389,0.4644,0.6425174092601073,0.845,0.845,0.4955510113849896,1.913,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.3259,0.6159,0.5291,0.5969037703373625,0.869,0.869,0.49653660513614095,0.2699,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,0.0666,0.7235,0.0921,0.9266810886291742,0.828,0.828,0.5054253712096091,0.1602,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,0.4908,0.6427,0.7636,0.4453875233383978,0.886,0.886,0.4961405254043698,0.1967,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,0.2938,0.5591,0.5255,0.5993903728821617,0.89,0.89,0.4971261191555212,0.2785,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,0.7833,0.6292,1.245,0.21359385942467737,0.881,0.881,0.5039884307873697,0.5112,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,-0.0305,0.685,-0.0445,0.9644913162424967,0.841,0.841,0.49612210309126414,0.5142,327,332,0.955926,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,0.0287,0.4115,0.0698,0.944340767725246,0.874,0.874,0.4973103422865775,0.4897,327,332,0.955926,False,enriched_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,0.3103,0.644,0.4818,0.6301071165095948,0.922,0.922,0.5020356655981726,0.2223,327,332,0.963214,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus,0.0483,0.6652,0.0726,0.9421454305532403,0.93,0.93,0.5020909325374894,1.2742,327,332,0.963214,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,0.457,0.5752,0.7944,0.4272518861065093,0.909,0.909,0.49775247780111265,0.4775,327,332,0.963214,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,0.4781,0.7515,0.6362,0.5248880306272237,0.972,0.972,0.49921705169301056,-0.2032,327,332,0.994871,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA,0.452,0.6634,0.6814,0.49586471473501303,0.985,0.985,0.5003868685752183,0.3629,327,332,0.996453,False,enriched_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,0.1361,0.5478,0.2485,0.803863273102787,1.0,1.0,0.5,0.4755,327,332,1.0,False,enriched_CRC
