rank,mean_auroc,std_auroc,params,param_path_smooth,param_num_leaves,param_n_estimators,param_min_child_samples,param_learning_rate,param_lambda_l2,param_lambda_l1,param_feature_fraction,param_extra_trees,param_bagging_fraction
64,0.7324793586326622,0.08955493666371357,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,30,0.01,0.0,1.0,0.4,True,0.7
65,0.7324515941174163,0.09701555948895448,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",0,15,500,10,0.01,1.0,1.0,0.4,True,0.7
66,0.7324515941174163,0.09701555948895448,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",0,15,500,10,0.01,1.0,1.0,0.4,True,0.9
67,0.7324181569824935,0.08863429832812734,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0.1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,20,0.01,0.1,1.0,0.4,True,0.9
68,0.7324181569824935,0.08863429832812734,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0.1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,20,0.01,0.1,1.0,0.4,True,0.7
69,0.7324170240550348,0.09099662660180488,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,20,0.01,0.0,1.0,0.4,True,0.7
70,0.7323898778093719,0.09110032934068592,"{'path_smooth': 0, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",0,7,500,10,0.01,0.0,1.0,0.6,True,0.9
71,0.7323898778093719,0.09110032934068592,"{'path_smooth': 0, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",0,7,500,10,0.01,0.0,1.0,0.6,True,0.7
72,0.7323299587499672,0.09447543380156136,"{'path_smooth': 1, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",1,7,500,30,0.01,0.0,0.5,0.4,True,0.9
73,0.7323299587499672,0.09447543380156136,"{'path_smooth': 1, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",1,7,500,30,0.01,0.0,0.5,0.4,True,0.7
